Series_Complete_18PlusPop_Pct,SVI_CTGY,per_gop,life_expectancy,per_foodinsecurity,med_household_income,per_rural,per_65andover,per_18andyounger,per_broadband,per_BIPOC,per_uninsured,primarycarephysicians_ratio,per_flushotvaccine,per_somecollege,per_unemployed,per_poverty
0.27699999999999997,D,0.6254703328509407,74.7,0.17,32808,0.6609999999999999,0.174,0.198,0.57,0.418,0.17,2894,0.28,0.49,0.051,0.29
0.442,D,0.7128293077985803,74.7,0.18,47100,0.742,0.223,0.204,0.75,0.271,0.12,2025,0.47,0.49,0.03,0.16
0.385,C,0.7842626367899947,73.4,0.15,47918,0.684,0.16699999999999998,0.203,0.69,0.21700000000000003,0.11,1867,0.4,0.4,0.031,0.203
0.489,C,0.7572164948453608,78.7,0.1,50608,1,0.141,0.27399999999999997,0.7,0.025,0.2,5360,0.36,0.34,0.036,0.112
0.757,B,0.45646682174032666,79.2,0.1,70688,0.305,0.175,0.193,0.85,0.075,0.04,2098,0.52,0.71,0.038,0.115
0.5820000000000001,B,0.6423517666464102,76.3,0.12,50979,0.403,0.225,0.199,0.78,0.044,0.06,2394,0.46,0.61,0.051,0.123
0.638,D,0.34437488931494614,76,0.15,50707,0.006,0.129,0.246,0.79,0.289,0.12,1207,0.52,0.63,0.033,0.152
0.506,C,0.607844710034491,77.8,0.1,63842,0.5,0.214,0.215,0.79,0.212,0.12,2271,0.52,0.62,0.033,0.118
0.652,C,0.5189042042950353,77.3,0.13,43404,0.243,0.21899999999999997,0.199,0.73,0.084,0.07,1927,0.51,0.54,0.05,0.18600000000000003
0.622,A,0.6837786259541985,78.8,0.08,63451,0.523,0.205,0.25,0.8,0.017,0.05,1046,0.59,0.74,0.023,0.087
0.659,B,0.678232484188458,80.6,0.11,79505,0.033,0.079,0.32899999999999996,0.87,0.023,0.09,2366,0.49,0.8,0.024,0.097
0.299,D,0.6879612292102655,75.3,0.14,59193,0.418,0.138,0.236,0.82,0.197,0.15,2148,0.45,0.57,0.034,0.149
0.506,B,0.6594086021505376,77.9,0.15,51860,0.342,0.17600000000000002,0.228,0.73,0.056,0.07,2024,0.3,0.65,0.052,0.138
0.742,A,0.6526819268875982,79.8,0.07,62904,0.349,0.213,0.218,0.81,0.008,0.04,897,0.49,0.75,0.036,0.07400000000000001
0.544,D,0.589303565478174,75.6,0.14,44860,1,0.227,0.18899999999999997,0.56,0.338,0.16,6043,0.51,0.42,0.032,0.192
0.33,C,0.7862903225806451,79.9,0.13,46871,1,0.185,0.28800000000000003,0.75,0.004,0.22,828,0.47,0.38,0.031,0.14400000000000002
